# Retrieved from https://en.wikipedia.org/wiki/Herschel-400-Catalogue, open with lib.stars.catalog.HerschelCatalog.java

# Column - Description
# A - Herschel number
# B - Messier or Caldwell number
# C - NGC or IC number
# D - Common name
# E - Type of object
# F - Distance in kilo light years (kly)
# G - Constellation
# H - Apparent visual magnitude
# I - Additional Messier or Caldwell number
# J - Additional NGC or IC number
# K - Additional common name

347,,NGC 6583,,Open Cluster,,Sagittarius,10,,,
348,,NGC 6624,,Globular Cluster,26,Sagittarius,8.3,,,
349,,NGC 6629,,Planetary Nebula,,Sagittarius,12,,,
350,,NGC 6633,,Open Cluster,1,Ophiuchus,4.6,,,
351,,NGC 6638,,Globular Cluster,,Sagittarius,9.2,,,
352,,NGC 6642,,Globular Cluster,26,Sagittarius,8.8,,,
353,,NGC 6645,,Open Cluster,,Sagittarius,9,,,
354,,NGC 6664,,Open Cluster,,Scutum,7.8,,,
355,,NGC 6712,,Globular Cluster,22.5,Scutum,8.2,,,
356,,NGC 6755,,Open Cluster,4.6,Aquila,7.5,,,
357,,NGC 6756,,Open Cluster,6.3,Aquila,11,,,
358,,NGC 6781,,Planetary Nebula,,Aquila,12,,,
359,,NGC 6802,,Open Cluster,,Vulpecula,8.8,,,
360,,NGC 6818,Little Gem Nebula,Planetary Nebula,,Sagittarius,10,,,
361,,NGC 6823,,Open Cluster,6,Vulpecula,7.1,,,
362,C15,NGC 6826,Blinking Planetary,Planetary Nebula,2.2,Cygnus,10,,,
363,,NGC 6830,,Open Cluster,,Vulpecula,7.9,,,
364,,NGC 6834,,Open Cluster,7,Cygnus,7.8,,,
365,,NGC 6866,,Open Cluster,3.9,Cygnus,7.6,,,
366,,NGC 6882,,Open Cluster,,Vulpecula,8.1,,,
367,C37,NGC 6885,,Open Cluster,2,Vulpecula,6,,,
368,,NGC 6905,Blue Flash Nebula,Planetary Nebula,7.5,Delphinus,12,,,
369,,NGC 6910,,Open Cluster,,Cygnus,7.4,,,
370,C47,NGC 6934,,Globular Cluster,57,Delphinus,8.9,,,
371,,NGC 6939,,Open Cluster,3.9,Cepheus,7.8,,,
372,,NGC 6940,,Open Cluster,2.5,Vulpecula,6.3,,,
373,C12,NGC 6946,Fireworks Galaxy,Galaxy,18000,Cepheus,8.9,,,
