https://heasarc.gsfc.nasa.gov/cgi-bin/W3Browse/w3browse.pl

Results from heasarc_ngc2000: NGC2000.0: Complete New General Catalog and Index Catalog
Coordinate system:  Equatorial, angular diameter in minutes of arc
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|lii   |bii   |ref_revision|constellation|description                                          |class                                              |
|NGC 261 |00 46.5|-73 07|       |            |                  |            |Nb         |303.43|-44.01|R           |Tuc          |F, pL, R, gbM *13                                    |                                  REFLECTION NEBULA|
|NGC 249 |00 45.4|-73 05|       |            |                  |            |Nb         |303.54|-44.04|R           |Tuc          |F, pL, vlE, r                                        |                                  REFLECTION NEBULA|
|NGC 2173|05 58.1|-72 59|       |            |                  |            |Gb         |283.79|-29.74|R           |Men          |pF, pL, R, gmbM                                      |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|IC 5072 |21 02.0|-72 59|       |            |                  |            |U          |320.49|-35.21|D           |Pav          |eF, eS, R                                            |                                       UNIDENTIFIED|
|IC 5016 |20 35.6|-72 55|       |            |                  |            |U          |321.36|-33.41|D           |Pav          |eeF, eS, *11 sp 1'                                   |                                       UNIDENTIFIED|
|NGC 419 |01 08.3|-72 53| 10.0  |            |                  |  2.6       |Gb         |301.20|-44.19|S           |Tuc          |pB, pL, R, gbM                                       |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 5833|15 11.8|-72 52|       |            |                  |            |Gx         |312.93|-12.78|R           |Aps          |F, cS, lE, glbM, am st                               |                                             GALAXY|
|NGC 292 |00 52.8|-72 50|       |            |                  |            |Gx         |302.79|-44.29|R           |Tuc          |Cl, F, eeL, R, st 12...18                            |                                             GALAXY|
|NGC 376 |01 03.9|-72 49|       |            |                  |            |U          |301.65|-44.28|DD          |Tuc          |only a D*, pos 270deg , dist 10"                     |                                       UNIDENTIFIED|
|IC 4958 |20 15.5|-72 42|       |            |                  |            |U          |322.04|-32.02|D           |Pav          |eF, bM                                               |                                       UNIDENTIFIED|
|IC 5008 |20 32.7|-72 42|       |            |                  |  1.2       |Gx         |321.69|-33.27|C           |Pav          |eF, vS, lE 90deg , lbM                               |                                             GALAXY|
|IC 5073 |21 03.3|-72 41|       |            |                  |  1.2       |Gx         |320.78|-35.41|C           |Pav          |eF, S, R                                             |                                             GALAXY|
|NGC 4372|12 25.8|-72 40|  7.8  |            |                  | 18.6       |Gb         |301.00| -9.89|S           |Mus          |glob. cl. , pF, L, R, st 12...16                     |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|IC 4746 |18 45.9|-72 40|       |            |                  |            |U          |322.18|-25.40|D           |Pav          |eF, eS                                               |                                       UNIDENTIFIED|
|IC 5108 |21 32.9|-72 40|       |            |                  |  1.4       |Gx         |319.53|-37.37|C           |Ind          |eF, vS, cbM                                          |                                             GALAXY|
|IC 5071 |21 01.3|-72 39|       |            |                  |  3.5       |Gx         |320.89|-35.29|C           |Pav          |cB, S, eE 20deg , stell N                            |                                             GALAXY|
|IC 4747 |18 45.9|-72 37|       |            |                  |            |U          |322.24|-25.39|D           |Pav          |vF, eS, cE 75deg                                     |                                       UNIDENTIFIED|
|NGC 6209|16 55.1|-72 32|       |            |                  |            |Gx         |318.92|-17.76|R           |Aps          |vF, pL, vgvlbM                                       |                                             GALAXY|
|IC 4893 |19 50.6|-72 31|       |            |                  |            |U          |322.57|-30.21|D           |Pav          |eF, vS, R, bM                                        |                                       UNIDENTIFIED|
|NGC 1944|05 21.9|-72 30|       |            |                  |            |OC         |283.69|-32.47|R           |Men          |pB, pL, R, bM                                        |                                  OPEN STAR CLUSTER|
|NGC 330 |00 56.2|-72 29|  9.6  |            |                  |  2.0       |OC         |302.43|-44.64|S           |Tuc          |glob. cl. , vB, S, lE, st 13...15                    |                                  OPEN STAR CLUSTER|
|NGC 5799|15 05.5|-72 26|       |            |                  |            |Gx         |312.75|-12.17|R           |Aps          |eF, S, R, bM                                         |                                             GALAXY|
|IC 4822 |19 14.9|-72 26|       |            |                  |            |U          |322.72|-27.53|D           |Pav          |F, S, R                                              |                                       UNIDENTIFIED|
|IC 5123 |21 44.8|-72 25|       |            |                  |  1.9       |Gx         |319.18|-38.26|C           |Ind          |cF, vS, cE 15deg , *12 p 1'                          |                                             GALAXY|
|IC 1612 |01 00.0|-72 23|       |            |                  |            |U          |302.02|-44.73|D           |Tuc          |eF, vS                                               |                                       UNIDENTIFIED|
|NGC 416 |01 08.1|-72 21| 11.0  |            |                  |  1.1       |Gb         |301.16|-44.72|S           |Tuc          |F, pS, R, gbM                                        |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|IC 1611 |00 59.7|-72 21|       |            |                  |            |U          |302.05|-44.76|D           |Tuc          |vF, bM                                               |                                       UNIDENTIFIED|
|NGC 460 |01 14.8|-72 18|       |            |                  |            |C+N        |300.44|-44.72|R           |Tuc          |F, pL, iR, gbM, r, 2nd of sev                        |                                  OPEN STAR CLUSTER|
|IC 4841 |19 20.8|-72 13|       |            |                  |            |U          |322.99|-27.96|D           |Pav          |eF, S, R, cbM                                        |                                       UNIDENTIFIED|
|NGC 306 |00 54.9|-72 13| 12.0  |p           |                  |            |C+N        |302.56|-44.91|R           |Tuc          |F, vS                                                |                                  OPEN STAR CLUSTER|
|NGC 6101|16 25.8|-72 12|  9.3  |            |                  | 10.7       |Gb         |317.75|-15.82|S           |Aps          |glob. cl. , pF, L, iR, vgbM, rr, st 14               |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
